code;name;isActive
10;Corporate;true
20;Dealer / Wholesale;true
30;Individual;true
40;Retail;true
50;Export Others;true
55;Export Kenya;true
56;Export Tanzania;true
60;Sales / Transfer;true
70;Internal Customer;true
90;Legal Case;true
